name,icon,cover,restype,tags,devices,path,paid_type
????????????,https://raw.githubusercontent.com/Hiqming/qymh/refs/heads/main/logo.png,https://raw.githubusercontent.com/Hiqming/qymh/refs/heads/main/1.jpg,quickapp,??????;??????,n66;n67;o66;o66nfc,HiXiaomi/qymh.json,force_paid
????????????,https://raw.githubusercontent.com/Hiqming/feiche/refs/heads/main/logo.png,https://raw.githubusercontent.com/Hiqming/feiche/refs/heads/main/1.jpg,quickapp,??????;??????;??????,n66;o66;o66nfc,HiXiaomi/feiche.json,force_paid
WindowsWF,https://raw.githubusercontent.com/wuhaiqi0621/WinWF_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/WinWF_ForAstroBox/refs/heads/main/head.png,watchface,Windows;??????;??????;Win11;??????;??????,o66;o66nfc,charlie_q/WindowsWF.json,
?????????2048,https://raw.githubusercontent.com/CheongSzesuen/Isotope2048_AstroBox_Release/refs/heads/main/logo.png,https://raw.githubusercontent.com/CheongSzesuen/Isotope2048_AstroBox_Release/refs/heads/main/head/Isotope2048.png,quickapp,2048;??????;??????;??????;??????;??????,n66;o66;o66nfc;n67,WaiJade/Isotope2048.json,
????????????,https://raw.githubusercontent.com/DDguan2010/vela-minesweeper/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-minesweeper/refs/heads/main/preview0.png,quickapp,??????;??????;??????,o66;o66nfc;n66,02studio/minesweeper.json,force_paid
?€??????????????€???????????????????,https://raw.githubusercontent.com/Demon0H/partygame_miband/refs/heads/main/icon.png,https://raw.githubusercontent.com/Demon0H/partygame_miband/refs/heads/main/cover.png,quickapp,??????;??????;????????????,"n66,n67,o66,o66nfc",Demon_H/partygame.json,paid
???????????€?????????,https://raw.githubusercontent.com/DDguan2010/vela-liferestart/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-liferestart/refs/heads/main/preview0.png,quickapp,??????;??????;???????????€;??????,o66;o66nfc;n66,02studio/liferestart.json,
??????????€???????,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain/refs/heads/main/icon.png,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain/refs/heads/main/cover.png,watchface,??????;????€?;??????,o66;o66nfc,ziyimiao5054/Snow-Mountain.json,
????????????????????????,https://raw.githubusercontent.com/Dreamqiucn/rcalculate-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/rcalculate-Astrobox/refs/heads/main/preview1.png,quickapp,????????????;??????;?????????,n67,Dreamqiu/rcalculate.json,
??????Starfield for Xiaomi Watch S4,https://raw.githubusercontent.com/MineBabyBlue/Starfield_Watchface_AstroBox_Release-main/refs/heads/main/icon.png,https://raw.githubusercontent.com/MineBabyBlue/Starfield_Watchface_AstroBox_Release-main/refs/heads/main/preview.png,watchface,??????;Starfield;??????;??????;?????????;??????,o62,BabyBlue/StarfieldS4.json,
??????mita????€?????????????,https://raw.githubusercontent.com/MineBabyBlue/Mita_Watchface_AstroBox_Release-main/refs/heads/main/icon.png,https://raw.githubusercontent.com/MineBabyBlue/Mita_Watchface_AstroBox_Release-main/refs/heads/main/preview.png,watchface,?????????;?????????;??????;??????;??????,n67,BabyBlue/Mita.json,
????????????????????????????????????,https://raw.githubusercontent.com/MineBabyBlue/CatMuyu_Watchface_AstroBox_Release-main/refs/heads/main/icon.png,https://raw.githubusercontent.com/MineBabyBlue/CatMuyu_Watchface_AstroBox_Release-main/refs/heads/main/preview.png,watchface,?????????;?????????;??????;??????;??????,n67;o66,BabyBlue/CatMuyu.json,paid
WORDLE,https://raw.githubusercontent.com/SarmonFish/vela-wordle-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/SarmonFish/vela-wordle-release/refs/heads/main/cover.png,quickapp,??????;??????;??????,n67;n66;o66;o66nfc;o65;o65m;o62;o62m;n62,SarmonFish/vela-wordle.json,
Contrasting colors,https://raw.githubusercontent.com/Azumachiaki/ctls/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/ctls/refs/heads/main/cover.png,watchface,??????;??????;AstroBox??????,n67,AzumaChiaki/ctls.json,
Unlock mi Phone,https://raw.githubusercontent.com/Azumachiaki/ulmp/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/ulmp/refs/heads/main/cover.png,quickapp,??????;??????;AstroBox??????;???,n67,AzumaChiaki/ulmp.json,
????????????,https://raw.githubusercontent.com/Ziyimiao5054/Drawing-Carve/refs/heads/main/icon.png,https://raw.githubusercontent.com/Ziyimiao5054/Drawing-Carve/refs/heads/main/cover.png,watchface,??????;?????????;??????;??????,o66;o66nfc,ziyimiao5054/Drawing_Carve.json,
Material You,https://raw.githubusercontent.com/YangWan233/Material-You_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/YangWan233/Material-You_AstroBox/refs/heads/main/cover.png,watchface,??????;??????;??€???,n67,YangWan233/Material You.json,
????????????,https://raw.githubusercontent.com/Dreamqiucn/cybergua-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/cybergua-Astrobox/refs/heads/main/preview1.png,quickapp,????????????;??????;??????;??????,n67,Dreamqiu/cybergua.json,
???????????????,https://raw.githubusercontent.com/OrPudding/MiRun-BandTwine/main/icon.png,https://raw.githubusercontent.com/OrPudding/MiRun-BandTwine/main/cover.png,quickapp,??????;??????;????????????;AstroBox??????;???;??????,n66;o66;n62;o62;o62m;o66nfc;n67,OrPudding/mirun.json,
????€??????????,https://raw.githubusercontent.com/Dreamqiucn/angryballs-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/angryballs-Astrobox/refs/heads/main/preview1.png,quickapp,??????;2d;??????,n67;n66;o66;o66nfc,Dreamqiu/angryballs.json,force_paid
SimpleRSS ??€???,https://raw.githubusercontent.com/yzl3014/AstroBox_SimpleRSS/refs/heads/main/logo.png,https://raw.githubusercontent.com/yzl3014/AstroBox_SimpleRSS/refs/heads/main/cover.png,quickapp,??????;??????;RSS,n67,yzl3014/simpleRSS.json,
MIPhone Go,https://raw.githubusercontent.com/wanggantian/MIPhonego/refs/heads/main/icon.png,https://raw.githubusercontent.com/wanggantian/MIPhonego/refs/heads/main/cover.png,quickapp,??????;??????;???,n67,wanggantian/MIPhonego.json,
???????????????,https://raw.githubusercontent.com/DDguan2010/vela-poem/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-poem/refs/heads/main/preview0.png,quickapp,??????;?????????;??????,o66;o66nfc;n66;n67,02studio/poem.json,force_paid
??????????€?_S4,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain_S4/refs/heads/main/icon.png,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain_S4/refs/heads/main/cover.png,watchface,??????;????€?;??????,o62;o62m,ziyimiao5054/Snow-Mountain_S4.json,
BanGUI ????????????,https://raw.githubusercontent.com/SmallK111407/BanGUI_ChihayaAnon_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/SmallK111407/BanGUI_ChihayaAnon_AstroBox/refs/heads/main/cover.png,watchface,??????;?????????;????????????;?????????;????????????;?????????,o66;o66nfc,smallk111407/BanGUI_ChihayaAnon.json,paid
????????????,https://raw.githubusercontent.com/MapleMapleMa/SmartVibrator/refs/heads/main/icon.png,https://raw.githubusercontent.com/MapleMapleMa/SmartVibrator/refs/heads/main/??????.png,quickapp,??????;????????????,o66;o66nfc,MapleMapleMa/SmartVibrator.json,
Physium,https://raw.githubusercontent.com/asahiqin/physium-aiot/refs/heads/main/src/common/logo.png,https://raw.githubusercontent.com/asahiqin/physium-release/refs/heads/main/cover.png,quickapp,??????;????????????;??€???,n66;n67,asahiqin/physium-aiot.json,
?????€??????,https://raw.githubusercontent.com/wuhaiqi0621/HuaKaiWangYou_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/HuaKaiWangYou_ForAstroBox/refs/heads/main/head.png,watchface,??????;??€???;??????;???,n67,charlie_q/HuaKaiWangYou.json,
????????????????????????,https://raw.githubusercontent.com/liuyuze61/Asunabi_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/Asunabi_AstroBox/refs/heads/main/preview.png,quickapp,galgame;??????,n67;o66;o66nfc,liuyuze61/Asunabi.json,
JSLab,https://raw.githubusercontent.com/cciccicu/JSLab_AstroBox_Release/refs/heads/main/logo.png,https://raw.githubusercontent.com/cciccicu/JSLab_AstroBox_Release/refs/heads/main/cover.png,quickapp,JS;??????,n67,ccicc.icu/jslab.json,
authRD,https://raw.githubusercontent.com/hrsthrt74/authRD-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/authRD-for-astrobox/refs/heads/main/cover.png,watchface,????????????;?€???????;?????????;??????,n67,hrsthrt74/authRD.json,
?????????2048,https://raw.githubusercontent.com/CheongSzesuen/B2048_AstroBox_Release/refs/heads/main/logo.png,https://raw.githubusercontent.com/CheongSzesuen/B2048_AstroBox_Release/refs/heads/main/head/head.png,quickapp,2048;??????;?????????2048;??????,o66;o66nfc,WaiJade/B2048.json,
Smart-Box,https://raw.githubusercontent.com/Emptysets/SmartBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/Emptysets/SmartBox/refs/heads/main/preview.png,quickapp,?????????;????????????;??????,"n66,n67",Emptysets/smartbox.json,
????????????,https://raw.githubusercontent.com/Tellmeway0/RememberHistory/main/logo.png,https://raw.githubusercontent.com/Tellmeway0/RememberHistory/main/rh_cover.png,quickapp,??????;??????;??????,n67,Tellmeway/RememberHistory.json,
banDS,https://raw.githubusercontent.com/hrsthrt74/banDS-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/banDS-for-astrobox/refs/heads/main/cover.png,watchface,?????????;Y2K;??????;?????????;?????????;??????;?????????;???????????????;??????;??????,n67,hrsthrt74/banDS.json,
Ocean,https://raw.githubusercontent.com/YangWan233/Ocean_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/YangWan233/Ocean_AstroBox/refs/heads/main/cover.png,watchface,??????;??????;?????????;??????;??????,n67,YangWan233/Ocean.json,
Poster,https://raw.githubusercontent.com/virelyx258/Vela_Poster/refs/heads/main/icon.png,https://raw.githubusercontent.com/virelyx258/Vela_Poster/refs/heads/main/2233poster.png,quickapp,??????;????????????;??????,o65;o65m,Virelyx/Poster.json,
MaxTab,https://raw.githubusercontent.com/Goge052215/MaxTab/refs/heads/main/logo.png,https://raw.githubusercontent.com/Goge052215/MaxTab/refs/heads/main/head_image.png,quickapp,?????????;????????????;??????,o66;o66nfc,goge052215/MaxTab.json,
WF2,https://raw.githubusercontent.com/hrsthrt74/WF2-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/WF2-for-astrobox/refs/heads/main/cover.png,watchface,?????????;??€???;NintendoSwitch;??????;?????????;????????????;??????;??????,n67,hrsthrt74/WF2.json,
realive 3 Classic F4,https://raw.githubusercontent.com/yizigezi/realive-3-Classic-F4/refs/heads/main/images/logo.png,https://raw.githubusercontent.com/yizigezi/realive-3-Classic-F4/refs/heads/main/images/preview.png,watchface,??????;??????;??????;??????;????????????4;?????????,o66;o66nfc,coratech/realive3classicf4.json,
?€?????€?UI,https://raw.githubusercontent.com/AL-1S-hash/AB-y/refs/heads/main/icon.png,https://raw.githubusercontent.com/AL-1S-hash/AB-y/refs/heads/main/tt.png,watchface,??????;??????;????????????;?????????;?????????;?????????,o66nfc;n67;o66,sees/ab-y.json,force_paid
??€?????????,https://raw.githubusercontent.com/zaona/simple-weather-astrobox-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/zaona/simple-weather-astrobox-release/refs/heads/main/preview.png,quickapp,??????;??????,n66;n67;o66;o66nfc;o62;o62m;o65;o65m;p65,zaona/simple-weather.json,
FlappyBird Pro,https://raw.githubusercontent.com/YangWan233/FlappyBird-Pro_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/YangWan233/FlappyBird-Pro_AstroBox/refs/heads/main/cover.png,quickapp,??????;??????;??????,n67,YangWan233/FlappyBirdPro.json,
MaterialFlex ?????????,https://raw.githubusercontent.com/hrsthrt74/MaterialFlex-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MaterialFlex-for-astrobox/refs/heads/main/cover.png,watchface,MaterialDesign;????????????;??€???;?????????;?????????;??????,o66;o66nfc,hrsthrt74/MaterialFlex.json,paid
MaterialMania,https://raw.githubusercontent.com/hrsthrt74/MaterialMania-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MaterialMania-for-astrobox/refs/heads/main/cover.png,watchface,MaterialDesign;????????????;??€???,o66nfc;o66,hrsthrt74/MaterialMania.json,
authRD - ?????????,https://raw.githubusercontent.com/hrsthrt74/authRD-kaltsit-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/authRD-kaltsit-for-astrobox/refs/heads/main/cover.png,watchface,????????????;?????????;??????,o62;o62m,hrsthrt74/authRD_kaltsit.json,
????€???????????????????,https://raw.githubusercontent.com/liuyuze61/BraveCommand_Dungeons_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/BraveCommand_Dungeons_AstroBox/refs/heads/main/preview10.png,quickapp,??????;?????????;jrpg;????????????,n67;o65;o65m;n66,liuyuze61/BraveCommand_Dungeons.json,force_paid
OMusic,https://raw.githubusercontent.com/OrPudding/OMusic-AstroBox-Resource/main/icon.png,https://raw.githubusercontent.com/OrPudding/OMusic-AstroBox-Resource/main/cover.png,quickapp,??????;????????????;??€???,n62;o62;o62m;o65;o65m;p65,OrPudding/omusic.json,force_paid
BandTwine,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/cover.png,quickapp,"??????;????????????,????????????,????????????;????????????",n62;n66;n67;o62;o66;o66nfc,OrPudding/bandtwine.json,
MerquryIM Dev,https://raw.githubusercontent.com/CoraTech-Wear/merqury-astrobox-res/refs/heads/main/icon.png,https://raw.githubusercontent.com/CoraTech-Wear/merqury-astrobox-res/refs/heads/main/cover.png,quickapp,??????;IM;QQ;??€???,o65m;o62m;o62,coratech/merquryim.json,
?????????,https://raw.githubusercontent.com/mqycn/huile8-miband/refs/heads/main/icon.png,https://raw.githubusercontent.com/mqycn/huile8-miband/refs/heads/main/preview.png,quickapp,????????????,n62;o62;o62m;o65;o65m;n66;n67,mqycn/huile8.json,
SMusic,https://raw.githubusercontent.com/SarmonFish/vela-smusic-release/main/icon.png,https://raw.githubusercontent.com/SarmonFish/vela-smusic-release/main/cover.png,quickapp,??????;????????????;??€???,n62;o62;o62m;o65;o65m;p65,SarmonFish/SMusic.json,
FlowChat,https://raw.githubusercontent.com/zaona/flow-chat-astrobox-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/zaona/flow-chat-astrobox-release/refs/heads/main/preview.png,quickapp,????????????,n66;n67;o66;o66nfc;o62;o62m;o65;o65m;p65,zaona/flow-chat.json,force_paid
HyperSurf???????????????,https://raw.githubusercontent.com/AetherZeng1145/HyperSurf_Res/refs/heads/main/logo.png,https://raw.githubusercontent.com/AetherZeng1145/HyperSurf_Res/refs/heads/main/preview.png,quickapp,?????????;??????;????????????,o62;n62;o62m,AetherZeng1145/HyperSurf.json,
???????????????? ,https://raw.githubusercontent.com/midi-HL/-MyGO-/refs/heads/main/icon.jpg,https://raw.githubusercontent.com/midi-HL/-MyGO-/refs/heads/main/xmbnad9.png,watchface,????,M2345B1,Hlchenxing/MyGO!!!!!.json,
